Date (DD/MM/YYYY),Time (24 hrs XX:XX),Sampling point,Ambient temperature (°C),Ambient humidity,Sample temperature (°C),pH,"EC
(µS/cm)","TDS
(mg/L)","TSS
(mL sed/L)","DO
(mg/L)",Level (cm),Turbidity (NTU),"Hardness
(mg CaCO3/L)",Hardness classification,"Total Cl-
(mg Cl-/L)"
09/05/2023,14:15,Puente Bilbao,17,0.47,19,8.3,1630,810,1.8,4.3,,,147,BLANDA,156
14/06/2023,14:30,Puente Bilbao,11.9,0.47,13,8.1,1000,490,18,5.3,,41.2,94,BLANDA,78
14/06/2023,14:30,Puente Bilbao,11.9,0.47,13,8.2,1000,490,18,4.67,,38.9,86,BLANDA,82
14/06/2023,15:00,Arroyo_Las Torres,11.9,0.47,13,8.3,1350,670,0.1,7.01,,30.7,200,SEMIDURA,117
14/06/2023,15:00,Arroyo_Las Torres,11.9,0.47,13,8.5,1350,660,0.1,7.23,,25.6,196,SEMIDURA,117
14/06/2023,15:00,Puente Irigoyen,11.9,0.47,13,8.2,1200,590,26,5.44,,24.6,151,SEMIDURA,109
14/06/2023,15:00,Puente Irigoyen,11.9,0.47,12.9,8.2,1220,600,26,5.34,,24,151,SEMIDURA,113
14/06/2023,15:30,Puente Falbo,11.9,0.47,12.8,8,1260,620,36,2.24,,21,139,BLANDA,113
14/06/2023,15:30,Puente Falbo,11.9,0.47,12.9,8,1260,620,36,1.95,,21.5,139,BLANDA,113
23/06/2023,12:30,Puente Bilbao,10.4,0.87,13.9,8.2,1250,620,28,4.55,,60.5,102,BLANDA,121
23/06/2023,12:30,Puente Bilbao,10.4,0.87,13.8,8.1,1220,600,28,4.47,,118,102,BLANDA,121
23/06/2023,12:45,Arroyo_Las Torres,10.4,0.87,13.2,8.3,1460,720,56,5.81,,51.1,204,SEMIDURA,129
23/06/2023,12:45,Arroyo_Las Torres,10.4,0.87,13.2,8.3,1410,700,56,5.77,,55.8,200,SEMIDURA,133
23/06/2023,12:55,Puente Irigoyen,10.4,0.87,14.4,8.1,1280,630,36,2.66,,56.8,130,BLANDA,109
23/06/2023,12:55,Puente Irigoyen,10.4,0.87,14.1,8.1,1290,640,36,3.38,,52.8,122,BLANDA,113
23/06/2023,13:05,Arroyo Salguero,10.4,0.87,14.6,8.2,930,460,0.1,5.88,,5.16,204,SEMIDURA,59
23/06/2023,13:05,Arroyo Salguero,10.4,0.87,14.8,8.2,940,460,0.1,6.02,,127,208,SEMIDURA,63
